型番,下側厚み(H1),筒の高さ(H2),上側厚み(H3),上側直径(P1),下側直径(P2),筒外形(P3),筒内径(P4),位置
SG-9A,2,2.3,3.5,16,13,9,4.5,0
SG-12A,1.5,1.6,2.5,19,16,12,7,28
SG-14A,2,2.3,3,21,18,14,9,58
SG-16A,2,1.6,3.5,23,20,16,11,90
SG-18A,2,2.3,3.5,25,22,18,13,124
SG-20A,2.5,1.6,4,27,24,20,15,160
SG-22A,2.5,2.3,4,29,26,22,17,198
SG-24A,3,2.3,5,31,28,24,19,238
SG-26A,3,3.2,5,35,31,26,19,281
SG-28A,3,2.3,5,37,33,28,21,327
SG-30A,3,3.2,5,39,35,30,23,375
SG-32A,3,2.3,5,41,37,32,25,425
SG-34A,3,3.2,5,43,39,34,27,477
SG-36A,4,2.3,6,45,42,36,28,531
SG-38A,4,3.2,6,48,44,38,30,588
SG-42A,4,3.2,6,52,48,42,34,648
SG-50A,4,2,4,60,56,50,40,714
SG-60A,4,3.2,6.5,70,65,60,50,789
SG-70A,4,3.2,6.5,80,75,70,60,874
SG-80A,4.5,3.2,6.5,90,85,80,70,969
